Date,Open,High,Low,Close,Volume
04/08/2021,"185.88","185.88","164.30","170.26","10,047,390"
04/07/2021,"183.22","184.50","176.11","177.97","4,768,261"
04/06/2021,"185.21","192.00","183.56","184.50","6,218,318"
04/05/2021,"171.00","195.00","164.81","186.95","14,070,490"
04/01/2021,"193.36","196.97","183.60","191.45","9,334,345"
03/31/2021,"197.50","199.46","187.11","189.82","8,393,834"
03/30/2021,"187.50","204.30","182.00","194.46","17,094,920"
03/29/2021,"180.75","193.92","173.51","181.30","10,042,180"
03/26/2021,"197.68","218.93","163.26","181.00","37,430,672"
03/25/2021,"123.49","187.50","116.90","183.75","50,962,340"
03/24/2021,"157.98","166.97","118.62","120.34","24,177,881"
03/23/2021,"197.50","201.75","177.55","181.75","14,429,150"
03/22/2021,"205.26","210.36","186.20","194.49","10,061,510"
03/19/2021,"195.73","227.00","182.66","200.27","24,677,301"
03/18/2021,"214.00","218.88","195.65","201.75","11,799,910"
03/17/2021,"217.84","231.47","204.00","209.81","16,481,590"
03/16/2021,"203.16","220.70","172.35","208.17","35,422,871"
03/15/2021,"277.52","283.00","206.00","220.14","24,226,189"
03/12/2021,"275.00","295.50","262.27","264.50","25,845,900"
03/11/2021,"241.64","281.50","232.60","260.00","28,312,490"
03/10/2021,"269.43","348.50","172.00","265.00","71,570,570"
03/09/2021,"217.71","249.85","208.51","246.90","39,099,328"
03/08/2021,"154.89","210.87","146.10","194.50","63,565,621"
03/05/2021,"128.17","151.53","127.50","137.74","30,733,670"
03/04/2021,"125.00","147.87","115.30","132.35","32,606,891"
03/03/2021,"122.51","127.75","113.12","124.18","19,273,881"
03/02/2021,"116.93","133.20","112.20","118.18","33,783,039"
03/01/2021,"104.54","133.99","99.97","120.40","49,793,969"
02/26/2021,"117.46","142.90","86.00","101.74","92,194,148"
02/25/2021,"169.56","184.68","101.00","108.73","150,308,797"
02/24/2021,"44.70","91.71","44.70","91.71","83,111,742"
02/23/2021,"44.97","46.23","40.00","44.97","7,565,215"
02/22/2021,"46.69","48.51","42.40","46.00","19,476,020"
02/19/2021,"41.28","43.89","38.50","40.59","14,828,240"
02/18/2021,"48.49","48.87","40.65","40.69","23,990,561"
02/17/2021,"49.77","51.19","44.56","45.94","9,260,795"
02/16/2021,"52.66","53.50","49.04","49.51","8,175,030"
02/12/2021,"50.75","55.24","48.05","52.40","14,573,260"
02/11/2021,"50.01","55.32","48.22","51.10","13,056,730"
02/10/2021,"50.77","62.83","46.55","51.20","36,455,039"
02/09/2021,"56.61","57.00","46.52","50.31","26,843,080"
02/08/2021,"72.41","72.66","58.02","60.00","25,687,279"
02/05/2021,"54.04","95.00","51.09","63.77","81,345,008"
02/04/2021,"91.19","91.50","53.33","53.50","62,427,281"
02/03/2021,"112.01","113.40","85.25","92.41","42,698,512"
02/02/2021,"140.76","158.00","74.22","90.00","78,183,070"
